feature,shap_mean_abs
pct_carga,0.30190846
geracao_total_mw,0.13699052
autoprod_pct,0.11942424
ve_demanda_kw,0.09234418
evento_flag,0.075123526
frequencia_hz,0.07215073
clima_irrad_wm2,0.067198716
clima_temp_c,0.06711571
clima_umidade_pct,0.062350117
dia_semana,0.061566398
tensao_media_v,0.061558492
thd_tensao_pct,0.06015243
anomalia_flag,0.058572914
bat_soc_pct,0.052347966
pot_reativa_kvar,0.052236725
desequilibrio_tensao_pct,0.050573863
consumo_liquido_mw,0.04994881
consumo_mw,0.047614478
fator_potencia,0.04638809
hora_cos,0.041904364
ve_ocupacao_pct,0.041792925
hora_sin,0.01896361
hora,0.018898988
pot_ativa_kw,0.008730834
